乾之乾,道陟石阪，胡言連蹇。譯瘖且聾，莫使道通。請謁不行，求事無功。
乾之坤,招殃來螫，害我邦國；病在手足，不得安息。
乾之屯,陽孤亢極，多所恨惑，車傾蓋亡，身常憂惶；乃得其願，雌雄相從。
乾之蒙,鴶鵴鳲鳩，專一無尤。君子是則，長受嘉福。
乾之需,目瞤足動，喜如其願，舉家蒙寵。
乾之訟,罷馬上山，絕無水泉。喉焦唇乾，舌不能言。
乾之師,倉盈庾憶，宜稼黍稷。國家富有，人民蕃息。
乾之比,中夜狗吠，盜在墻外。神明祐助，銷散皆去。
乾之小畜,据斗運，樞順天無憂。與樂並居。
乾之履,空拳握手，倒地更起。富饒豐衍，快樂無已。
乾之泰,不風不雨，白日皎皎。宜出驅馳，通理大道。
乾之否,載日晶光，驂駕六龍。祿命徹天，封為燕王。
乾之同人,子號索哺，母行求食。反見空巢，訾我長息。
乾之大有,上帝之生，福祐日成。脩德行惠，樂安且寧。
乾之謙,山險難登，澗中多石，車馳轊擊，載重傷軸。儋負善躓，跌踒右足。
乾之豫,禹鑿龍門，通利水源。東注滄海，民得安存。
乾之隨,乘龍上天，兩蛇為輔，湧躍雲中，遊觀滄海，安樂長處。
乾之蠱,彭祖九子，據德不殆。南山松柏，長受嘉福。
乾之臨,南山昊天，刺政關身。疾悲無辜，背憎為仇。
乾之觀,江河淮海，天之奧府。眾利所聚，可以饒有。樂我君子，百福是受。
乾之噬嗑,堅冰黃鳥，啼哀悲愁，不見甘粒，但觀藜蒿，數驚鷙鳥，為我心憂。
乾之賁,室如懸磬，既危且殆；早見之士，依山谷處。
乾之剝,大禹式路，蚩尤除道。周匝萬里，不危不殆，見其所使，無所不在。
乾之復,三人為旅，俱歸北海，入門上堂，拜謁王母，勞賜我酒。
乾之無妄,傳言相誤，非干徑路。鳴鼓逐狐，不知迹處。
乾之大畜,三羊爭雌，相逐奔馳，終日不食，精氣勞疲。
乾之頤,純服黃裳，戴上與興。德義既生，天下歸仁。
乾之大過,桀跖並處，人民愁苦。擁兵荷糧，戰於齊魯。
乾之坎,黃鳥采菉，既嫁不荅。念我父兄，思復邦國。
乾之離,胎生孚乳，長息成就。充滿帝室，家國昌富。
乾之咸,三人求橘，反得丹穴。女貴以富，黃金百鎰。
乾之恆,東山西岳，會合俱食，百家送從，以成恩福。
